Group,Result,icon_index,N_total,Position,Row,Col
Wholesale Food,Pass,39,239,39,3,9
Wholesale Food,Pass,40,239,40,4,0
Wholesale Food,Pass,41,239,41,4,1
Wholesale Food,Pass,42,239,42,4,2
Wholesale Food,Pass,43,239,43,4,3
Wholesale Food,Pass,44,239,44,4,4
Wholesale Food,Pass,45,239,45,4,5
Wholesale Food,Pass,46,239,46,4,6
Wholesale Food,Pass,47,239,47,4,7
Wholesale Food,Pass w/ Conditions,0,239,48,4,8
Wholesale Food,Fail,0,239,49,4,9
Wholesale Food,Fail,1,239,50,5,0
Wholesale Food,Fail,2,239,51,5,1
Wholesale Food,Fail,3,239,52,5,2
Wholesale Food,Fail,4,239,53,5,3
Wholesale Food,Fail,5,239,54,5,4
Wholesale Food,Fail,6,239,55,5,5
Wholesale Food,Fail,7,239,56,5,6
Wholesale Food,Fail,8,239,57,5,7
Wholesale Food,Fail,9,239,58,5,8
Wholesale Food,Fail,10,239,59,5,9
Wholesale Food,Fail,11,239,60,6,0
Wholesale Food,Fail,12,239,61,6,1
Wholesale Food,Fail,13,239,62,6,2
Wholesale Food,Fail,14,239,63,6,3
Wholesale Food,Fail,15,239,64,6,4
Wholesale Food,Fail,16,239,65,6,5
Wholesale Food,Fail,17,239,66,6,6
Wholesale Food,Fail,18,239,67,6,7
Wholesale Food,Fail,19,239,68,6,8
Wholesale Food,Fail,20,239,69,6,9
Wholesale Food,Fail,21,239,70,7,0
Wholesale Food,Fail,22,239,71,7,1
Wholesale Food,Fail,23,239,72,7,2
Wholesale Food,Fail,24,239,73,7,3
Wholesale Food,Fail,25,239,74,7,4
Wholesale Food,Fail,26,239,75,7,5
Wholesale Food,Fail,27,239,76,7,6
Wholesale Food,Fail,28,239,77,7,7
Wholesale Food,Fail,29,239,78,7,8
Wholesale Food,Fail,30,239,79,7,9
Wholesale Food,Fail,31,239,80,8,0
Wholesale Food,Fail,32,239,81,8,1
Wholesale Food,Fail,33,239,82,8,2
Wholesale Food,Fail,34,239,83,8,3
Wholesale Food,Fail,35,239,84,8,4
Wholesale Food,Fail,36,239,85,8,5
Wholesale Food,Fail,37,239,86,8,6
Wholesale Food,Fail,38,239,87,8,7
Wholesale Food,Fail,39,239,88,8,8
Wholesale Food,Fail,40,239,89,8,9
Wholesale Food,Fail,41,239,90,9,0
Wholesale Food,Fail,42,239,91,9,1
Wholesale Food,Fail,43,239,92,9,2
Wholesale Food,Fail,44,239,93,9,3
Wholesale Food,Fail,45,239,94,9,4
Wholesale Food,Fail,46,239,95,9,5
Wholesale Food,Fail,47,239,96,9,6
Wholesale Food,Fail,48,239,97,9,7
Wholesale Food,Fail,49,239,98,9,8
Wholesale Food,Fail,50,239,99,9,9
