Facility Type,Year,Results,Count,Percentage
Restaurant,2021,Pass,4519,50.41
Restaurant,2021,Pass w/ Conditions,2370,26.44
Restaurant,2022,Fail,2447,24.92
Restaurant,2022,Pass,5458,55.59
Restaurant,2022,Pass w/ Conditions,1914,19.49
Restaurant,2023,Fail,2559,24.37
Restaurant,2023,Pass,6141,58.48
Restaurant,2023,Pass w/ Conditions,1801,17.15
Restaurant,2024,Fail,2402,21.54
Restaurant,2024,Pass,6760,60.63
Restaurant,2024,Pass w/ Conditions,1987,17.82
Restaurant,2025,Fail,2423,21.21
Restaurant,2025,Pass,7195,62.98
Restaurant,2025,Pass w/ Conditions,1806,15.81
School,2010,Fail,191,14.14
School,2010,Pass,1101,81.5
School,2010,Pass w/ Conditions,59,4.37
School,2011,Fail,238,17.25
School,2011,Pass,1079,78.19
School,2011,Pass w/ Conditions,63,4.57
School,2012,Fail,244,20.96
School,2012,Pass,876,75.26
School,2012,Pass w/ Conditions,44,3.78
School,2013,Fail,192,16.75
School,2013,Pass,909,79.32
School,2013,Pass w/ Conditions,45,3.93
School,2014,Fail,206,18.2
School,2014,Pass,857,75.71
School,2014,Pass w/ Conditions,69,6.1
School,2015,Fail,232,20.26
School,2015,Pass,830,72.49
School,2015,Pass w/ Conditions,83,7.25
School,2016,Fail,299,24.85
School,2016,Pass,809,67.25
School,2016,Pass w/ Conditions,95,7.9
School,2017,Fail,253,22.31
School,2017,Pass,802,70.72
School,2017,Pass w/ Conditions,79,6.97
School,2018,Fail,316,26.99
School,2018,Pass,684,58.41
School,2018,Pass w/ Conditions,171,14.6
School,2019,Fail,254,23.28
School,2019,Pass,524,48.03
School,2019,Pass w/ Conditions,313,28.69
School,2020,Fail,223,24.81
School,2020,Pass,527,58.62
School,2020,Pass w/ Conditions,149,16.57
School,2021,Fail,252,23.38
School,2021,Pass,692,64.19
School,2021,Pass w/ Conditions,134,12.43
School,2022,Fail,331,29.11
School,2022,Pass,699,61.48
School,2022,Pass w/ Conditions,107,9.41
School,2023,Fail,334,28.43
School,2023,Pass,743,63.23
School,2023,Pass w/ Conditions,98,8.34
School,2024,Fail,288,25.97
School,2024,Pass,704,63.48
School,2024,Pass w/ Conditions,117,10.55
School,2025,Fail,259,24.07
School,2025,Pass,723,67.19
School,2025,Pass w/ Conditions,94,8.74
